real_name,game_id,player_id,lichess_game_id,date_utc,white,black,white_elo,black_elo,result,player_color,player_result,eco,opening,total_moves,termination,time_control,variant,move_times_json
"GM Vignesh, N R",11,1,Nso9xENr,2026.06.09,shreyash_2007,Goodgoodchess,1952,2280,0-1,black,win,D01,Rapport-Jobava System,19,Normal,300+5,Standard,"[""0:05:00"", ""0:05:00"", ""0:05:03"", ""0:04:56"", ""0:05:06"", ""0:05:00"", ""0:05:10"", ""0:05:04"", ""0:05:13"", ""0:05:07"", ""0:05:17"", ""0:05:09"", ""0:05:20"", ""0:05:10"", ""0:05:22"", ""0:05:13"", ""0:04:51"", ""0:04:56"", ""0:04:48"", ""0:05:00"", ""0:04:53"", ""0:04:55"", ""0:04:45"", ""0:04:52"", ""0:04:39"", ""0:04:48"", ""0:04:34"", ""0:04:37"", ""0:04:37"", ""0:04:40"", ""0:04:42"", ""0:04:44"", ""0:03:28"", ""0:04:45"", ""0:03:33"", ""0:04:46"", ""0:03:26"", ""0:04:38""]"
"GM Vignesh, N R",12,1,jARsheSq,2026.06.09,Goodgoodchess,yoey29,2280,1987,1-0,white,win,A07,King's Indian Attack: Yugoslav Variation,31,Time forfeit,300+5,Standard,"[""0:05:00"", ""0:05:00"", ""0:05:03"", ""0:05:02"", ""0:05:06"", ""0:05:06"", ""0:05:10"", ""0:05:10"", ""0:05:10"", ""0:05:13"", ""0:05:10"", ""0:05:05"", ""0:05:05"", ""0:05:06"", ""0:05:07"", ""0:04:53"", ""0:05:07"", ""0:03:55"", ""0:05:11"", ""0:03:55"", ""0:05:16"", ""0:03:58"", ""0:05:04"", ""0:03:50"", ""0:05:03"", ""0:03:53"", ""0:05:07"", ""0:03:06"", ""0:05:07"", ""0:02:22"", ""0:04:44"", ""0:02:20"", ""0:04:45"", ""0:02:15"", ""0:04:43"", ""0:01:34"", ""0:04:43"", ""0:01:20"", ""0:04:12"", ""0:01:02"", ""0:04:04"", ""0:01:00"", ""0:04:00"", ""0:00:35"", ""0:03:59"", ""0:00:38"", ""0:03:52"", ""0:00:38"", ""0:03:31"", ""0:00:41"", ""0:03:35"", ""0:00:25"", ""0:03:39"", ""0:00:08"", ""0:03:32"", ""0:00:12"", ""0:03:35"", ""0:00:11"", ""0:03:38"", ""0:00:09"", ""0:03:37""]"
"GM Vignesh, N R",13,1,prbkJXPZ,2026.06.09,yoey29,Goodgoodchess,1987,2280,0-1,black,win,D96,Grünfeld Defense: Russian Variation,21,Normal,300+5,Standard,"[""0:05:00"", ""0:05:00"", ""0:05:01"", ""0:05:03"", ""0:05:05"", ""0:05:07"", ""0:05:09"", ""0:05:10"", ""0:05:12"", ""0:05:10"", ""0:05:16"", ""0:05:08"", ""0:05:18"", ""0:05:12"", ""0:05:21"", ""0:05:07"", ""0:05:20"", ""0:05:06"", ""0:04:55"", ""0:05:01"", ""0:04:31"", ""0:05:04"", ""0:04:30"", ""0:04:52"", ""0:04:27"", ""0:04:26"", ""0:04:20"", ""0:04:20"", ""0:04:23"", ""0:04:05"", ""0:04:13"", ""0:03:58"", ""0:04:09"", ""0:03:50"", ""0:03:46"", ""0:03:47"", ""0:03:35"", ""0:03:50"", ""0:01:37"", ""0:03:40"", ""0:01:22"", ""0:03:33""]"
"GM Vignesh, N R",14,1,XKc4yRsn,2026.06.09,Goodgoodchess,yoey29,2280,1987,1-0,white,win,A14,"English Opening: Agincourt Defense, Neo-Catalan Declined",32,Normal,300+5,Standard,"[""0:05:00"", ""0:05:00"", ""0:05:04"", ""0:04:57"", ""0:05:09"", ""0:04:57"", ""0:05:12"", ""0:05:01"", ""0:05:15"", ""0:05:06"", ""0:05:19"", ""0:05:07"", ""0:05:23"", ""0:05:11"", ""0:05:27"", ""0:05:15"", ""0:05:30"", ""0:04:30"", ""0:05:31"", ""0:04:30"", ""0:05:24"", ""0:04:35"", ""0:05:26"", ""0:04:30"", ""0:05:31"", ""0:04:34"", ""0:05:01"", ""0:03:59"", ""0:04:37"", ""0:03:49"", ""0:04:25"", ""0:03:23"", ""0:04:29"", ""0:02:33"", ""0:04:32"", ""0:02:37"", ""0:04:23"", ""0:02:39"", ""0:04:18"", ""0:02:20"", ""0:04:10"", ""0:01:08"", ""0:04:04"", ""0:00:50"", ""0:04:05"", ""0:00:54"", ""0:04:05"", ""0:00:53"", ""0:04:04"", ""0:00:57"", ""0:04:03"", ""0:01:02"", ""0:04:07"", ""0:00:44"", ""0:04:09"", ""0:00:25"", ""0:04:11"", ""0:00:30"", ""0:04:12"", ""0:00:33"", ""0:04:13"", ""0:00:36"", ""0:04:15""]"
"GM Vignesh, N R",15,1,GqBv3fVS,2026.06.09,yoey29,Goodgoodchess,1987,2280,0-1,black,win,D27,"Queen's Gambit Accepted: Classical Defense, Main Line",26,Normal,300+5,Standard,"[""0:05:00"", ""0:05:00"", ""0:05:04"", ""0:05:03"", ""0:05:08"", ""0:05:06"", ""0:05:11"", ""0:05:10"", ""0:05:14"", ""0:05:14"", ""0:05:12"", ""0:05:19"", ""0:05:10"", ""0:05:22"", ""0:04:57"", ""0:05:24"", ""0:04:55"", ""0:05:19"", ""0:04:58"", ""0:05:21"", ""0:04:56"", ""0:05:19"", ""0:04:45"", ""0:04:52"", ""0:04:15"", ""0:04:55"", ""0:04:19"", ""0:04:59"", ""0:04:23"", ""0:04:28"", ""0:03:55"", ""0:04:24"", ""0:03:06"", ""0:04:26"", ""0:03:05"", ""0:04:28"", ""0:02:57"", ""0:04:32"", ""0:02:48"", ""0:04:34"", ""0:02:53"", ""0:04:33"", ""0:02:46"", ""0:04:33"", ""0:02:50"", ""0:04:34"", ""0:02:54"", ""0:04:38"", ""0:02:52"", ""0:04:39"", ""0:02:53"", ""0:04:37""]"
"GM Vignesh, N R",16,1,GiROZxsS,2026.06.09,Goodgoodchess,yoey29,2280,1987,1-0,white,win,B24,"Sicilian Defense: Closed, Fianchetto Variation",56,Normal,300+5,Standard,"[""0:05:00"", ""0:05:00"", ""0:05:02"", ""0:05:03"", ""0:05:06"", ""0:05:07"", ""0:05:10"", ""0:05:11"", ""0:05:13"", ""0:05:16"", ""0:05:12"", ""0:05:18"", ""0:05:16"", ""0:05:17"", ""0:05:19"", ""0:05:06"", ""0:05:18"", ""0:05:10"", ""0:04:54"", ""0:05:11"", ""0:04:55"", ""0:04:40"", ""0:04:56"", ""0:04:08"", ""0:05:01"", ""0:03:52"", ""0:04:59"", ""0:03:44"", ""0:04:55"", ""0:03:22"", ""0:04:13"", ""0:02:59"", ""0:04:17"", ""0:02:49"", ""0:04:20"", ""0:02:21"", ""0:04:21"", ""0:02:11"", ""0:04:12"", ""0:02:05"", ""0:04:05"", ""0:02:10"", ""0:03:41"", ""0:01:57"", ""0:03:24"", ""0:01:01"", ""0:03:25"", ""0:00:45"", ""0:03:17"", ""0:00:32"", ""0:02:46"", ""0:00:31"", ""0:02:40"", ""0:00:26"", ""0:02:20"", ""0:00:29"", ""0:02:16"", ""0:00:33"", ""0:02:12"", ""0:00:36"", ""0:02:17"", ""0:00:40"", ""0:02:15"", ""0:00:44"", ""0:01:55"", ""0:00:43"", ""0:01:59"", ""0:00:32"", ""0:02:03"", ""0:00:35"", ""0:02:06"", ""0:00:38"", ""0:01:47"", ""0:00:42"", ""0:01:39"", ""0:00:45"", ""0:01:29"", ""0:00:45"", ""0:01:32"", ""0:00:22"", ""0:01:35"", ""0:00:23"", ""0:01:37"", ""0:00:25"", ""0:01:42"", ""0:00:31"", ""0:01:39"", ""0:00:34"", ""0:01:43"", ""0:00:38"", ""0:01:47"", ""0:00:39"", ""0:01:50"", ""0:00:41"", ""0:01:52"", ""0:00:41"", ""0:01:55"", ""0:00:40"", ""0:01:49"", ""0:00:43"", ""0:01:29"", ""0:00:43"", ""0:01:33"", ""0:00:44"", ""0:01:36"", ""0:00:47"", ""0:01:38"", ""0:00:51"", ""0:01:41"", ""0:00:55"", ""0:01:45""]"
"GM Vignesh, N R",17,1,HScAWUvI,2026.06.07,Goodgoodchess,Chessbee111,2280,1712,1-0,white,win,B33,Sicilian Defense: Lasker-Pelikan Variation,32,Normal,600+10,Standard,"[""0:10:00"", ""0:10:00"", ""0:10:09"", ""0:10:07"", ""0:10:18"", ""0:10:14"", ""0:10:28"", ""0:10:22"", ""0:10:36"", ""0:10:28"", ""0:10:45"", ""0:10:37"", ""0:10:54"", ""0:10:42"", ""0:11:04"", ""0:10:47"", ""0:11:13"", ""0:10:56"", ""0:11:19"", ""0:11:04"", ""0:11:28"", ""0:11:10"", ""0:11:37"", ""0:11:19"", ""0:11:46"", ""0:11:26"", ""0:11:51"", ""0:11:34"", ""0:12:00"", ""0:11:42"", ""0:12:06"", ""0:11:49"", ""0:12:15"", ""0:11:58"", ""0:12:24"", ""0:12:07"", ""0:12:31"", ""0:12:14"", ""0:12:40"", ""0:12:14"", ""0:12:48"", ""0:12:17"", ""0:12:57"", ""0:12:18"", ""0:13:01"", ""0:12:15"", ""0:13:09"", ""0:12:18"", ""0:13:18"", ""0:12:11"", ""0:13:25"", ""0:12:00"", ""0:13:34"", ""0:12:10"", ""0:13:43"", ""0:12:17"", ""0:13:51"", ""0:12:27"", ""0:14:01"", ""0:12:36"", ""0:14:10"", ""0:12:44"", ""0:14:10""]"
"GM Vignesh, N R",18,1,pJ2yy6xO,2026.06.07,Chessbee111,Goodgoodchess,1712,2280,0-1,black,win,B06,Modern Defense,76,Normal,600+10,Standard,"[""0:10:00"", ""0:10:00"", ""0:09:54"", ""0:10:08"", ""0:10:02"", ""0:10:17"", ""0:10:08"", ""0:10:25"", ""0:10:16"", ""0:10:33"", ""0:10:20"", ""0:10:41"", ""0:10:27"", ""0:10:50"", ""0:10:35"", ""0:10:58"", ""0:10:39"", ""0:11:06"", ""0:10:35"", ""0:11:11"", ""0:10:29"", ""0:11:20"", ""0:10:29"", ""0:11:04"", ""0:10:35"", ""0:11:05"", ""0:10:37"", ""0:11:07"", ""0:10:02"", ""0:11:01"", ""0:09:46"", ""0:10:59"", ""0:09:21"", ""0:10:48"", ""0:09:20"", ""0:10:55"", ""0:09:17"", ""0:10:57"", ""0:09:17"", ""0:11:00"", ""0:09:00"", ""0:09:42"", ""0:08:56"", ""0:09:50"", ""0:08:56"", ""0:09:59"", ""0:08:47"", ""0:09:43"", ""0:08:40"", ""0:09:50"", ""0:07:21"", ""0:09:55"", ""0:07:09"", ""0:09:54"", ""0:06:16"", ""0:10:01"", ""0:06:26"", ""0:10:10"", ""0:06:36"", ""0:10:14"", ""0:06:28"", ""0:10:13"", ""0:06:32"", ""0:10:10"", ""0:06:40"", ""0:10:19"", ""0:06:42"", ""0:10:28"", ""0:06:50"", ""0:10:36"", ""0:06:50"", ""0:10:37"", ""0:06:55"", ""0:10:44"", ""0:07:01"", ""0:10:50"", ""0:07:09"", ""0:10:29"", ""0:07:07"", ""0:10:37"", ""0:07:13"", ""0:10:38"", ""0:07:18"", ""0:10:46"", ""0:07:16"", ""0:10:55"", ""0:07:24"", ""0:11:02"", ""0:07:30"", ""0:11:11"", ""0:07:37"", ""0:11:19"", ""0:07:42"", ""0:11:28"", ""0:07:51"", ""0:11:37"", ""0:08:00"", ""0:11:45"", ""0:08:08"", ""0:11:54"", ""0:08:14"", ""0:12:03"", ""0:08:22"", ""0:12:11"", ""0:08:21"", ""0:12:19"", ""0:08:30"", ""0:12:27"", ""0:08:39"", ""0:12:36"", ""0:08:48"", ""0:12:45"", ""0:08:53"", ""0:12:53"", ""0:08:59"", ""0:13:02"", ""0:09:06"", ""0:13:10"", ""0:09:04"", ""0:12:57"", ""0:08:47"", ""0:13:05"", ""0:08:56"", ""0:13:14"", ""0:08:54"", ""0:13:23"", ""0:09:03"", ""0:13:32"", ""0:09:09"", ""0:13:40"", ""0:09:17"", ""0:13:49"", ""0:09:26"", ""0:13:58"", ""0:09:35"", ""0:14:07"", ""0:09:44"", ""0:14:16"", ""0:09:53"", ""0:14:25"", ""0:10:01"", ""0:14:34"", ""0:10:07"", ""0:14:43"", ""0:10:13"", ""0:14:50"", ""0:10:21"", ""0:14:58"", ""0:10:30"", ""0:15:07"", ""0:10:34"", ""0:15:05""]"
"GM Vignesh, N R",19,1,nwFXlSGT,2026.06.07,Goodgoodchess,Chessbee111,2280,1712,1-0,white,win,B33,Sicilian Defense: Lasker-Pelikan Variation,20,Normal,600+10,Standard,"[""0:10:00"", ""0:10:00"", ""0:10:03"", ""0:10:05"", ""0:10:11"", ""0:10:00"", ""0:10:21"", ""0:10:06"", ""0:10:28"", ""0:09:57"", ""0:10:35"", ""0:10:01"", ""0:10:36"", ""0:10:00"", ""0:10:42"", ""0:10:10"", ""0:10:51"", ""0:10:08"", ""0:10:55"", ""0:10:15"", ""0:11:02"", ""0:10:08"", ""0:11:05"", ""0:10:09"", ""0:11:13"", ""0:09:57"", ""0:11:20"", ""0:09:26"", ""0:11:19"", ""0:09:32"", ""0:11:26"", ""0:09:40"", ""0:11:34"", ""0:09:41"", ""0:11:42"", ""0:09:50"", ""0:11:49"", ""0:09:14"", ""0:11:47""]"
"GM Vignesh, N R",20,1,dV3x1wVl,2026.06.07,Chessbee111,Goodgoodchess,1712,2280,0-1,black,win,A43,Benoni Defense: Old Benoni,30,Normal,600+10,Standard,"[""0:10:00"", ""0:10:00"", ""0:10:02"", ""0:10:06"", ""0:10:08"", ""0:10:13"", ""0:10:16"", ""0:10:20"", ""0:10:19"", ""0:10:28"", ""0:10:10"", ""0:10:36"", ""0:10:18"", ""0:10:41"", ""0:10:21"", ""0:10:22"", ""0:10:22"", ""0:10:27"", ""0:10:24"", ""0:10:34"", ""0:10:21"", ""0:10:38"", ""0:10:28"", ""0:10:48"", ""0:10:36"", ""0:10:56"", ""0:10:38"", ""0:11:02"", ""0:10:45"", ""0:11:07"", ""0:10:50"", ""0:11:06"", ""0:10:33"", ""0:11:01"", ""0:10:34"", ""0:11:10"", ""0:10:41"", ""0:11:14"", ""0:10:40"", ""0:11:21"", ""0:10:44"", ""0:11:01"", ""0:10:23"", ""0:09:25"", ""0:10:27"", ""0:09:31"", ""0:10:28"", ""0:09:21"", ""0:10:36"", ""0:09:29"", ""0:10:44"", ""0:09:31"", ""0:10:53"", ""0:09:35"", ""0:11:01"", ""0:09:41"", ""0:10:58"", ""0:09:44"", ""0:11:01"", ""0:09:42""]"
"GM Vignesh, N R",21,1,4kBw42lJ,2026.06.07,Goodgoodchess,Chessbee111,2280,1712,1-0,white,win,A33,"English Opening: Symmetrical Variation, Anti-Benoni Variation, Spielmann Defense",22,Normal,600+10,Standard,"[""0:10:00"", ""0:10:00"", ""0:10:04"", ""0:10:06"", ""0:10:11"", ""0:10:09"", ""0:10:16"", ""0:10:17"", ""0:10:24"", ""0:10:23"", ""0:10:22"", ""0:10:27"", ""0:10:06"", ""0:10:30"", ""0:10:13"", ""0:10:30"", ""0:10:21"", ""0:10:32"", ""0:10:29"", ""0:10:40"", ""0:10:36"", ""0:10:31"", ""0:10:27"", ""0:10:38"", ""0:10:35"", ""0:10:15"", ""0:10:37"", ""0:10:09"", ""0:10:45"", ""0:10:17"", ""0:10:51"", ""0:10:15"", ""0:10:58"", ""0:10:04"", ""0:10:53"", ""0:09:18"", ""0:09:41"", ""0:09:08"", ""0:09:47"", ""0:09:12"", ""0:09:34"", ""0:08:51"", ""0:09:26""]"
"GM Vignesh, N R",22,1,ha7yoVNN,2026.06.07,Chessbee111,Goodgoodchess,1712,2280,0-1,black,win,A48,Queen's Pawn Game: Barry Attack,39,Normal,600+10,Standard,"[""0:10:00"", ""0:10:00"", ""0:10:07"", ""0:10:07"", ""0:10:15"", ""0:10:15"", ""0:10:22"", ""0:10:24"", ""0:10:29"", ""0:10:30"", ""0:10:35"", ""0:10:38"", ""0:10:39"", ""0:10:46"", ""0:10:26"", ""0:10:54"", ""0:10:28"", ""0:11:03"", ""0:10:25"", ""0:10:39"", ""0:10:28"", ""0:10:46"", ""0:10:36"", ""0:10:32"", ""0:10:32"", ""0:10:40"", ""0:10:27"", ""0:10:25"", ""0:10:23"", ""0:10:30"", ""0:10:17"", ""0:10:36"", ""0:10:21"", ""0:10:45"", ""0:10:28"", ""0:10:48"", ""0:10:11"", ""0:10:44"", ""0:10:15"", ""0:10:51"", ""0:10:20"", ""0:10:57"", ""0:10:15"", ""0:10:59"", ""0:10:20"", ""0:11:02"", ""0:10:20"", ""0:10:59"", ""0:10:25"", ""0:11:06"", ""0:10:35"", ""0:11:14"", ""0:10:43"", ""0:11:24"", ""0:10:46"", ""0:11:30"", ""0:10:51"", ""0:11:35"", ""0:10:34"", ""0:11:38"", ""0:10:33"", ""0:11:45"", ""0:10:23"", ""0:11:42"", ""0:10:26"", ""0:11:48"", ""0:10:14"", ""0:11:56"", ""0:10:17"", ""0:12:01"", ""0:10:24"", ""0:12:08"", ""0:10:30"", ""0:12:16"", ""0:10:35"", ""0:12:23"", ""0:10:40"", ""0:12:19""]"
"GM Vignesh, N R",23,1,ZJQoJ3Xj,2026.06.06,vidipkumarkona,Goodgoodchess,2610,2832,0-1,black,win,B53,Sicilian Defense: Chekhover Variation,55,Normal,300+3,Standard,"[""0:05:00"", ""0:05:00"", ""0:05:00"", ""0:05:00"", ""0:04:47"", ""0:04:58"", ""0:04:50"", ""0:04:59"", ""0:04:51"", ""0:05:00"", ""0:04:53"", ""0:05:01"", ""0:04:55"", ""0:05:00"", ""0:04:56"", ""0:05:01"", ""0:04:57"", ""0:05:02"", ""0:04:56"", ""0:04:58"", ""0:04:57"", ""0:04:43"", ""0:04:57"", ""0:04:38"", ""0:04:56"", ""0:04:38"", ""0:04:59"", ""0:04:35"", ""0:05:01"", ""0:04:30"", ""0:04:57"", ""0:04:31"", ""0:04:59"", ""0:04:30"", ""0:04:55"", ""0:04:31"", ""0:04:57"", ""0:04:30"", ""0:04:58"", ""0:03:39"", ""0:04:58"", ""0:03:36"", ""0:05:00"", ""0:03:36"", ""0:05:02"", ""0:03:37"", ""0:05:04"", ""0:03:35"", ""0:05:02"", ""0:03:35"", ""0:05:03"", ""0:03:37"", ""0:05:03"", ""0:03:25"", ""0:05:03"", ""0:03:16"", ""0:05:05"", ""0:03:18"", ""0:05:07"", ""0:03:17"", ""0:05:10"", ""0:03:17"", ""0:05:11"", ""0:03:12"", ""0:05:12"", ""0:03:08"", ""0:05:13"", ""0:03:10"", ""0:05:15"", ""0:03:11"", ""0:05:16"", ""0:03:12"", ""0:05:18"", ""0:03:12"", ""0:05:20"", ""0:03:08"", ""0:05:21"", ""0:03:10"", ""0:05:24"", ""0:03:10"", ""0:05:27"", ""0:03:09"", ""0:05:29"", ""0:03:10"", ""0:05:30"", ""0:03:11"", ""0:05:33"", ""0:03:12"", ""0:05:34"", ""0:03:11"", ""0:05:36"", ""0:03:10"", ""0:05:35"", ""0:03:11"", ""0:05:36"", ""0:03:11"", ""0:05:37"", ""0:03:13"", ""0:05:36"", ""0:03:07"", ""0:05:37"", ""0:03:08"", ""0:05:39"", ""0:03:11"", ""0:05:41"", ""0:03:11"", ""0:05:41"", ""0:03:13"", ""0:05:42"", ""0:03:12""]"
"GM Vignesh, N R",24,1,Gv7FYOuO,2026.06.06,Goodgoodchess,vidipkumarkona,2832,2610,1-0,white,win,A13,"English Opening: Agincourt Defense, Catalan Defense Accepted",44,Normal,300+3,Standard,"[""0:05:00"", ""0:05:00"", ""0:05:02"", ""0:05:00"", ""0:05:02"", ""0:04:58"", ""0:05:04"", ""0:04:59"", ""0:05:03"", ""0:04:59"", ""0:05:04"", ""0:05:01"", ""0:05:03"", ""0:05:03"", ""0:04:59"", ""0:05:02"", ""0:04:58"", ""0:05:03"", ""0:04:59"", ""0:05:04"", ""0:05:00"", ""0:04:55"", ""0:05:00"", ""0:04:23"", ""0:04:56"", ""0:04:25"", ""0:04:54"", ""0:04:26"", ""0:04:49"", ""0:04:24"", ""0:04:44"", ""0:04:21"", ""0:03:29"", ""0:04:17"", ""0:03:01"", ""0:04:13"", ""0:02:53"", ""0:04:14"", ""0:02:55"", ""0:04:12"", ""0:02:57"", ""0:04:14"", ""0:02:58"", ""0:04:15"", ""0:01:21"", ""0:04:13"", ""0:00:54"", ""0:04:13"", ""0:00:53"", ""0:04:16"", ""0:00:52"", ""0:04:16"", ""0:00:49"", ""0:04:17"", ""0:00:51"", ""0:04:20"", ""0:00:48"", ""0:04:09"", ""0:00:41"", ""0:04:10"", ""0:00:43"", ""0:04:12"", ""0:00:23"", ""0:03:56"", ""0:00:26"", ""0:03:56"", ""0:00:23"", ""0:03:58"", ""0:00:23"", ""0:03:55"", ""0:00:26"", ""0:03:57"", ""0:00:25"", ""0:03:59"", ""0:00:23"", ""0:03:58"", ""0:00:19"", ""0:03:53"", ""0:00:21"", ""0:03:53"", ""0:00:23"", ""0:03:54"", ""0:00:23"", ""0:03:56"", ""0:00:24"", ""0:03:56"", ""0:00:26""]"
"GM Vignesh, N R",25,1,4SGmo7R7,2026.06.05,DmDonCh,Goodgoodchess,2834,2843,1-0,black,loss,E11,Bogo-Indian Defense: Nimzowitsch Variation,69,Time forfeit,180+0,Standard,"[""0:03:00"", ""0:03:00"", ""0:02:59"", ""0:02:59"", ""0:02:57"", ""0:02:57"", ""0:02:55"", ""0:02:56"", ""0:02:47"", ""0:02:53"", ""0:02:46"", ""0:02:52"", ""0:02:45"", ""0:02:50"", ""0:02:42"", ""0:02:49"", ""0:02:41"", ""0:02:48"", ""0:02:40"", ""0:02:47"", ""0:02:30"", ""0:02:45"", ""0:02:23"", ""0:02:43"", ""0:02:21"", ""0:02:41"", ""0:02:19"", ""0:02:27"", ""0:02:17"", ""0:02:23"", ""0:02:12"", ""0:02:19"", ""0:02:08"", ""0:02:17"", ""0:02:03"", ""0:02:04"", ""0:02:03"", ""0:02:03"", ""0:01:47"", ""0:01:46"", ""0:01:42"", ""0:01:44"", ""0:01:40"", ""0:01:34"", ""0:01:38"", ""0:01:30"", ""0:01:33"", ""0:01:19"", ""0:01:31"", ""0:01:18"", ""0:01:23"", ""0:01:15"", ""0:01:22"", ""0:01:12"", ""0:01:20"", ""0:01:00"", ""0:01:07"", ""0:00:52"", ""0:01:04"", ""0:00:45"", ""0:00:35"", ""0:00:43"", ""0:00:32"", ""0:00:41"", ""0:00:31"", ""0:00:40"", ""0:00:31"", ""0:00:35"", ""0:00:26"", ""0:00:28"", ""0:00:25"", ""0:00:28"", ""0:00:24"", ""0:00:27"", ""0:00:22"", ""0:00:27"", ""0:00:22"", ""0:00:25"", ""0:00:20"", ""0:00:24"", ""0:00:19"", ""0:00:24"", ""0:00:18"", ""0:00:23"", ""0:00:16"", ""0:00:21"", ""0:00:15"", ""0:00:20"", ""0:00:14"", ""0:00:19"", ""0:00:13"", ""0:00:19"", ""0:00:11"", ""0:00:18"", ""0:00:11"", ""0:00:18"", ""0:00:10"", ""0:00:17"", ""0:00:09"", ""0:00:17"", ""0:00:09"", ""0:00:16"", ""0:00:08"", ""0:00:15"", ""0:00:08"", ""0:00:13"", ""0:00:07"", ""0:00:13"", ""0:00:07"", ""0:00:11"", ""0:00:06"", ""0:00:10"", ""0:00:04"", ""0:00:09"", ""0:00:04"", ""0:00:08"", ""0:00:03"", ""0:00:07"", ""0:00:02"", ""0:00:06"", ""0:00:01"", ""0:00:05"", ""0:00:01"", ""0:00:05"", ""0:00:01"", ""0:00:04"", ""0:00:01"", ""0:00:03"", ""0:00:00"", ""0:00:02"", ""0:00:00"", ""0:00:02"", ""0:00:00"", ""0:00:01"", ""0:00:00"", ""0:00:01"", ""0:00:00""]"
"GM Vignesh, N R",26,1,N3vcRAmp,2026.06.05,Goodgoodchess,DmDonCh,2855,2828,0-1,white,loss,A37,"English Opening: Symmetrical Variation, Three Knights, Fianchetto Variation",23,Normal,180+0,Standard,"[""0:03:00"", ""0:03:00"", ""0:02:59"", ""0:02:59"", ""0:02:59"", ""0:02:59"", ""0:02:57"", ""0:02:58"", ""0:02:56"", ""0:02:57"", ""0:02:53"", ""0:02:55"", ""0:02:52"", ""0:02:54"", ""0:02:51"", ""0:02:53"", ""0:02:48"", ""0:02:49"", ""0:02:37"", ""0:02:47"", ""0:02:35"", ""0:02:44"", ""0:02:33"", ""0:02:41"", ""0:02:31"", ""0:02:36"", ""0:02:24"", ""0:02:34"", ""0:02:20"", ""0:02:33"", ""0:02:15"", ""0:02:25"", ""0:02:12"", ""0:02:23"", ""0:02:12"", ""0:02:21"", ""0:02:08"", ""0:02:19"", ""0:02:06"", ""0:02:17"", ""0:01:59"", ""0:02:16"", ""0:01:53"", ""0:02:14"", ""0:01:52"", ""0:02:12""]"
"GM Vignesh, N R",27,1,J1WKIYEx,2026.06.05,DmDonCh,Goodgoodchess,2834,2844,0-1,black,win,A00,Mieses Opening,24,Normal,180+0,Standard,"[""0:03:00"", ""0:03:00"", ""0:02:59"", ""0:02:59"", ""0:02:59"", ""0:02:57"", ""0:02:58"", ""0:02:56"", ""0:02:58"", ""0:02:54"", ""0:02:56"", ""0:02:51"", ""0:02:55"", ""0:02:51"", ""0:02:55"", ""0:02:51"", ""0:02:52"", ""0:02:44"", ""0:02:50"", ""0:02:41"", ""0:02:49"", ""0:02:31"", ""0:02:40"", ""0:02:31"", ""0:02:35"", ""0:02:23"", ""0:02:34"", ""0:02:19"", ""0:02:32"", ""0:02:15"", ""0:02:19"", ""0:02:11"", ""0:02:11"", ""0:02:10"", ""0:01:51"", ""0:02:00"", ""0:01:51"", ""0:01:57"", ""0:01:28"", ""0:01:52"", ""0:01:19"", ""0:01:31"", ""0:01:18"", ""0:01:29"", ""0:01:17"", ""0:01:14"", ""0:01:16"", ""0:01:11""]"
"GM Vignesh, N R",28,1,6DqLlkJC,2026.06.05,Goodgoodchess,DmDonCh,2832,2839,1-0,white,win,A10,English Opening,24,Normal,180+0,Standard,"[""0:03:00"", ""0:03:00"", ""0:02:58"", ""0:03:00"", ""0:02:58"", ""0:03:00"", ""0:02:57"", ""0:03:00"", ""0:02:56"", ""0:02:59"", ""0:02:55"", ""0:02:58"", ""0:02:54"", ""0:02:55"", ""0:02:53"", ""0:02:53"", ""0:02:49"", ""0:02:52"", ""0:02:48"", ""0:02:46"", ""0:02:46"", ""0:02:45"", ""0:02:32"", ""0:02:44"", ""0:02:28"", ""0:02:44"", ""0:02:26"", ""0:02:42"", ""0:02:21"", ""0:02:41"", ""0:02:10"", ""0:02:22"", ""0:02:06"", ""0:02:05"", ""0:02:02"", ""0:02:00"", ""0:01:49"", ""0:01:56"", ""0:01:44"", ""0:01:50"", ""0:01:41"", ""0:01:47"", ""0:01:36"", ""0:01:46"", ""0:01:30"", ""0:01:42"", ""0:01:29""]"
"GM Vignesh, N R",29,1,o4uaBRFK,2026.06.05,kijuqwerty,Goodgoodchess,1804,2832,0-1,black,win,B90,"Sicilian Defense: Najdorf Variation, English Attack",24,Normal,300+3,Standard,"[""0:05:00"", ""0:05:00"", ""0:05:01"", ""0:05:02"", ""0:05:04"", ""0:05:05"", ""0:05:06"", ""0:05:08"", ""0:05:09"", ""0:05:11"", ""0:04:57"", ""0:05:12"", ""0:04:58"", ""0:05:14"", ""0:04:55"", ""0:05:15"", ""0:04:56"", ""0:05:17"", ""0:04:58"", ""0:05:14"", ""0:04:58"", ""0:05:16"", ""0:04:59"", ""0:05:18"", ""0:04:50"", ""0:05:18"", ""0:04:49"", ""0:04:39"", ""0:04:39"", ""0:04:41"", ""0:04:39"", ""0:04:32"", ""0:04:38"", ""0:04:23"", ""0:04:37"", ""0:04:19"", ""0:04:36"", ""0:04:14"", ""0:04:07"", ""0:04:15"", ""0:04:07"", ""0:03:59"", ""0:04:05"", ""0:03:34"", ""0:04:02"", ""0:03:30"", ""0:03:54"", ""0:03:25""]"
