real_name,structure_family,games,wins,draws,losses
"GM Vignesh, N R",Catalan / Réti Squeeze,12,12,0,0
"GM Vignesh, N R",Anti-Sicilian Counter-Package,8,7,1,0
"GM Vignesh, N R",Reversed-Sicilian / Flank Annexation,6,6,0,0
"GM Vignesh, N R",IQP / Panov Attack,4,2,1,1
"GM Vignesh, N R",Advance Caro-Kann,2,0,0,2
"GM Vignesh, N R",Fianchetto KID / Grünfeld Complexes,2,2,0,0
"IM Chan, Kim Yew",Anti-Sicilian Counter-Package,5,4,0,1
"IM Chan, Kim Yew",Catalan / Réti Squeeze,4,1,0,3
"IM Chan, Kim Yew",Reversed-Sicilian / Flank Annexation,2,1,0,1
